id,onair
15091103,0
13518192,0
11551915,0
15090642,0
15745954,0
6832743,0
14041037,0
11711797,0
1719500,0
14040206,0
10798302,0
11417528,0
13932022,0
3552851,0
3421252,0
13382800,0
4206958,0
1716200,0
17303461,0
2107052,0
14987203,1
15998606,0
15744527,0
481999,0
14590871,0
1186592,0
14870126,0
13042691,0
13506484,0
3955007,0
8789244,0
15472906,0
10583057,0
17105657,0
9179468,0
15732996,0
15732987,0
15602567,0
4461370,0
15732981,0
7834452,0
5428381,0
6446496,0
11930397,0
12914134,0
3795811,0
14724083,0
15663294,0
8127582,0
16517228,1
6031363,0
13370251,0
7078805,0
13633165,0
16646397,0
13063025,0
5114017,0
6666000,0
15594777,0
10975929,0
12029513,0
16331163,0
6985409,0
15406836,0
11012125,0
13163314,0
17376765,0
15174252,0
16891732,0
4783399,0
16424457,0
15285222,0
6611559,0
9871712,0
13230120,0
11782654,0
6003107,0
9163566,0
6035515,0
13342124,0
9125624,0
907786,0
6110459,0
460867,0
190661,0
1260250,0
13160473,0
17523495,0
13800421,0
3402874,0
15504137,0
9250866,0
10056599,0
17161975,0
15435954,0
7313206,0
12297243,0
10056836,0
1111581,0
4692685,0
1530338,1
15450217,0
878951,0
12541082,0
13819728,0
7607267,0
16910931,0
1840547,0
16517877,0
405099,0
5914575,0
6696762,0
16129850,0
15426505,0
15212639,0
11524155,0
1726687,0
1071786,0
8676513,0
14834725,0
12722871,0
7381211,0
16801483,0
2777733,0
17218378,0
12870716,1
1904842,0
6579761,0
13919695,0
7366284,0
947200,0
5400938,0
12085986,0
11037499,1
10512556,0
11339426,0
15757279,0
15214788,0
10238363,0
15961544,0
13041408,0
9134567,0
12204993,0
15294999,0
13137576,0
5443210,0
2866032,0
12891341,0
9073534,0
14437751,0
16457431,0
17349244,0
17218240,0
6955821,0
10665537,0
16287024,0
10651539,0
7767972,0
10652377,0
7769599,0
14648567,0
13484780,0
430587,0
6460751,0
17471862,0
2925012,0
13935054,0
15146269,0
8854434,0
17081850,0
14722579,0
6072252,0
9480405,0
16427328,0
17344894,0
12889106,0
8418533,0
9070843,0
2405034,0
9336654,0
14644027,0
14074467,0
861879,0
11977948,0
16703881,0
12982004,0
16699022,0
8835580,0
16990575,0
11653066,0
7862283,0
15770485,0
849998,0
14494188,0
7590831,0
15331899,0
14276103,0
13295851,0
9474693,0
972205,0
12534155,0
16091536,0
6654374,0
15174083,0
767270,0
12029640,0
5342016,0
364792,0
10981953,0
16774265,0
12441270,0
13255495,0
17153003,0
12930935,0
8003624,0
16629471,0
2216824,0
16238822,0
12906585,0
16239040,0
16894414,0
6802256,0
8768842,0
15531929,0
17300556,0
15465662,0
13367345,0
1439449,0
14564322,0
15594550,0
12035501,0
12839858,0
5497222,0
16688330,0
13490688,0
16753599,0
17012541,0
6857334,0
13878852,0
5857922,0
3689458,0
7108776,0
1416394,0
6269572,0
16380230,0
17277271,0
15573963,0
15310855,0
9036081,0
3773227,0
16749035,1
17270212,0
4294491,0
14909453,0
6242216,0
4145063,0
13838835,0
6781986,0
5854136,0
9141957,0
6649692,0
9205192,0
15307898,0
17121036,0
15745817,0
5455234,0
12553525,0
17262190,0
7037081,0
7169071,0
14508745,0
6776022,0
9657847,0
12672447,0
15922261,0
8216385,0
7297784,0
13196213,0
2708924,0
12802205,0
13419473,0
13455562,0
361944,0
13877906,0
4594313,0
10936612,0
11223603,0
12535272,0
16990309,0
11353804,0
81473,0
16598060,0
606063,0
13754210,0
13384305,0
13843197,0
16310047,0
6977179,0
7812945,0
7943188,0
7156521,0
13185719,0
8532645,0
16068016,0
16160053,0
15409784,0
16722506,0
17377828,0
469475,0
468917,0
4138900,0
13650403,0
17113884,0
10691951,0
13968259,0
12263797,0
13967729,0
7544973,0
7544851,0
4399657,0
8199977,0
5767949,0
11868150,0
5800944,0
1410003,0
9358812,0
13315374,0
4718085,0
7157067,0
10455264,0
6753014,0
14877703,0
13304838,0
6588327,0
14946325,0
3867381,0
469775,0
16504228,0
13566394,0
14611521,0
8319504,0
13710523,0
8843040,0
7794410,0
12119714,0
17362210,0
10807880,0
583840,1
13035900,0
8201801,0
3073408,0
9102594,0
3647901,0
5401877,0
12417651,0
449199,0
9362574,0
15999908,0
8769040,0
13824199,0
9490826,0
16697692,0
16436786,0
7785620,0
17352746,0
2934808,0
9488253,0
9620797,0
10668806,0
11976934,0
9093035,0
9642052,0
8437073,0
11976776,0
573374,0
13243934,0
17134436,0
14989298,0
17216179,0
6385543,0
3189115,0
16689855,0
16295747,0
14853243,0
8573317,0
14949096,0
16553803,0
3840708,0
13425440,0
11833260,0
10652560,0
1608341,0
564170,0
7372704,0
16810075,0
16153144,0
6190369,1
14067807,0
7257823,0
12479088,0
13133119,0
17327130,0
14310149,0
7626217,0
7834997,0
17452832,0
12340724,0
13971445,0
10991249,0
16139879,0
9322906,0
15416803,0
8667838,0
14464454,0
9336241,0
12599344,0
4961412,0
16280150,0
17194449,0
13645192,0
11941545,0
2732781,0
11152928,0
16789808,0
14821522,0
11150523,0
6955622,0
6955589,0
5383649,0
10755482,0
13093760,0
17175811,0
15464309,0
8520551,0
7769000,0
17121062,0
12650538,0
1562258,0
17435114,0
7943387,0
8851319,0
16515705,0
12583432,0
16253005,0
11840240,0
6030134,0
11272212,0
5115291,0
14849619,0
5722435,0
7578095,0
15335845,0
391035,0
9664765,0
959474,0
13154706,0
15593684,0
14540887,0
6779193,0
16051633,0
13345818,0
11664033,0
1568716,0
11852723,0
13126607,0
13543378,0
9467655,0
13127444,0
15334189,0
9691014,0
10978730,0
15141276,0
13672328,0
6758757,0
16215867,0
17235004,0
12037195,0
17119772,0
5341561,0
15697648,0
16241353,0
15955660,0
11704057,0
594724,0
1235103,0
8998324,0
698606,1
13052019,0
15292772,0
7171920,0
16128989,0
5692000,1
10454173,0
7302579,0
17394459,0
15178909,0
14740941,0
13800638,0
13842955,0
16374535,0
16730456,0
13722086,0
12527422,0
2587763,0
12025085,1
8367193,0
1415477,0
10968550,0
16775034,0
16818088,0
12668142,0
10872289,0
17263493,0
7576267,0
12245920,0
16473926,0
13995292,0
15767879,0
13985774,0
12277224,0
4723107,0
17261730,0
7722528,0
15224450,0
2497944,0
16142038,0
14176175,0
16167557,0
5123975,0
5783764,0
14177074,0
11018121,0
1602503,0
10900909,0
13391289,0
3561168,0
5789703,0
17324304,0
11547160,0
547251,0
14178920,0
7090834,0
2644828,0
16145393,0
17262479,0
17325589,0
679709,0
8675111,0
11695035,0
15610947,0
9462072,0
10248807,0
16105388,0
16821793,0
15754402,0
7497408,0
10897089,0
13002932,0
12994085,0
3173050,0
15232367,0
6319833,1
2912313,0
16410677,0
14559403,0
946758,0
4466921,0
5266466,0
6441413,0
6534239,0
12864445,0
7740314,0
13257785,0
17189988,0
13904925,0
10894688,0
3558758,0
7609568,0
2239818,0
11561301,0
11580668,0
13631433,0
4880808,0
5929409,0
10401456,0
6076085,0
6076211,0
14580786,0
1095932,0
15671357,0
8265463,0
4635446,0
8436663,0
3965299,0
5931418,0
9077263,0
7635501,0
16941688,0
8481604,0
12747736,0
13412310,0
7767810,0
559670,0
13274166,0
15502763,1
13536692,0
4624286,0
8032512,0
9474450,0
15110580,0
955115,0
16608753,0
14456507,0
4462916,0
10917788,0
11883619,0
15636860,0
6462021,0
15768395,0
6331241,0
16817378,0
13278845,0
14196720,0
15114246,0
1339408,0
7626191,0
3580365,0
41509,0
9872435,0
11052352,0
16950598,0
16819770,0
1354206,0
7907932,0
1354331,0
1355362,0
16822024,0
7894110,0
8695912,0
3699852,0
3524631,0
11693547,0
13807864,0
14447934,0
16953991,0
11055934,0
15778175,0
11584739,0
7783328,0
1760594,0
11847659,0
581961,0
6758889,1
7398097,0
11855032,0
16699444,0
16699461,0
13050661,0
14469087,0
9506805,0
11163239,0
8854369,0
9948739,0
13749845,0
16296702,0
15968213,0
14012564,0
16119913,0
8901472,0
2355856,0
10587318,0
8368727,0
6070056,0
10849376,0
7276298,0
8238505,0
7573181,0
11253604,0
6141860,0
9670575,0
8894751,0
6091847,0
16224873,0
4428942,0
10327406,0
14390721,0
8230481,0
15320823,0
6281091,0
6070708,0
13355234,0
6529850,0
15322080,0
5088744,0
13356286,0
13039511,0
8113652,0
9823732,0
14875565,0
5367386,0
386965,0
12341603,0
2948340,0
2092660,0
1310624,0
6553500,0
15335216,0
15335174,0
16645373,0
10745980,0
14220990,0
13105213,0
5502996,0
1309435,0
7469339,0
15400506,0
9696398,0
6289330,0
16905055,0
14153122,0
16689313,0
14545833,0
11705504,0
15946259,0
15723550,0
388037,0
15593092,0
14329647,0
16902837,0
15153479,0
17033656,0
11790373,0
4187647,0
7856841,0
1680785,0
13892496,0
4055211,0
14278621,0
12690560,0
391549,0
16242930,0
13892179,0
13883219,0
13097553,0
3922328,0
14799927,0
8245957,0
13750794,0
13358359,0
15978193,0
16632244,0
1952145,0
15956207,0
3917692,0
13355240,0
13093081,0
13956227,0
16891527,0
13366285,0
4699431,0
8630026,0
13649949,0
13610003,0
14741843,0
13739688,0
14263809,0
14263507,0
13214924,0
14262924,0
13738464,0
14262624,0
10855370,0
9281617,0
1023839,0
4957305,0
5064110,0
17014423,0
13299546,0
9061534,0
15047422,0
388817,0
10590199,0
4950635,0
1411453,0
7834414,0
13995451,0
13459137,0
13993287,0
17007808,0
5734860,0
4948274,0
11114409,0
6129406,0
13731704,0
5717870,0
7569335,0
3243804,1
378551,0
15679136,0
7174027,0
4029703,0
15037779,0
881877,0
6650594,0
1538293,0
11104914,0
14280969,0
11890923,0
16981490,0
17003531,0
11638945,0
10320402,0
1669615,0
1273416,0
12676560,0
15559589,0
8350586,0
17262717,0
2265396,0
17382690,0
1532924,0
9921456,0
6775688,0
13460737,0
13590209,0
6436289,0
4546067,0
1662810,0
7298866,0
10050647,0
16341811,0
12016367,0
15948179,0
17520621,0
9785410,0
12930115,0
1265111,0
12799295,0
6899478,0
3229360,0
16205012,0
14894281,0
14107793,0
14650073,0
